id;cat_name;last_mod
8;North American Lager;2010-06-08T02:00:00+02:00
11;Other Style;2010-06-08T02:00:00+02:00
10;International Lager;2010-06-08T02:00:00+02:00
7;German Lager;2010-06-08T02:00:00+02:00
9;Other Lager;2010-06-08T02:00:00+02:00
4;German Ale;2010-06-08T02:00:00+02:00
5;Belgian and French Ale;2010-06-08T02:00:00+02:00
6;International Ale;2010-06-08T02:00:00+02:00
1;British Ale;2010-10-24T15:50:10+02:00
2;Irish Ale;2010-06-08T02:00:00+02:00
3;North American Ale;2010-06-08T02:00:00+02:00
