Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website
Hocus Pocus;1;812;11;116;4.5;0;0;0;;Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.   Its malty sweetness finishes tart and crisp and is best apprediated with a wedge of orange.;0;2010-07-22 22:00:00+02:00;Light American Wheat Ale or Lager;Other Style;Magic Hat;5 Bartlett Bay Road;South Burlington;Vermont;United States;44.4284, -73.2131;http://www.magichat.net/
Grimbergen Blonde;2;264;-1;-1;6.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Alken-Maes;Rue Derbque 7;Jumet;Hainaut;Belgium;50.4431, 4.4147;
Widdershins Barleywine;3;779;-1;-1;9.100000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Left Hand Brewing Company;1265 Boston Avenue;Longmont;Colorado;United States;40.1587, -105.113;http://www.lefthandbrewing.com/
Lucifer;4;287;-1;-1;8.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Liefmans;200 Aalststraat;Oudenaarde;Oost-Vlaanderen;Belgium;50.8439, 3.617;http://www.liefmans.be/
Bitter;5;1056;-1;-1;4;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Ridgeway Brewing;6 Chapel Close;South Stoke;Oxford;United Kingdom;51.5462, -1.1355;
Winter Warmer;6;1385;1;13;5.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Youngs & Company Brewery;26 Osiers Road;London;;England;51.4611, -0.1966;http://www.youngs.co.uk
Winter Welcome 2007-2008;7;1099;-1;-1;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Samuel Smith Old Brewery (Tadcaster);High Street;Tadcaster;North Yorkshire;United Kingdom;53.8834, -1.2625;
Oatmeal Stout;8;1099;3;42;5;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Samuel Smith Old Brewery (Tadcaster);High Street;Tadcaster;North Yorkshire;United Kingdom;53.8834, -1.2625;
Espresso Porter;9;501;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Empyrean Brewing Company;729 Q Street;Lincoln;Nebraska;United States;40.8155, -96.7105;
Chocolate Stout;10;545;3;42;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Fort Collins Brewery;1900-B East Lincoln Avenue;Fort Collins;Colorado;United States;40.5832, -105.042;http://www.fortcollinsbrewery.com
Hitachino Nest Real Ginger Brew;11;742;-1;-1;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Kiuchi Shuzou Goushi Kaisya;1257, Kounsosu;Ibaraki;Kanto;Japan;;
JuJu Ginger;12;779;-1;-1;4;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Left Hand Brewing Company;1265 Boston Avenue;Longmont;Colorado;United States;40.1587, -105.113;http://www.lefthandbrewing.com/
The Kidd Lager;13;545;7;86;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;German-Style Schwarzbier;German Lager;Fort Collins Brewery;1900-B East Lincoln Avenue;Fort Collins;Colorado;United States;40.5832, -105.042;http://www.fortcollinsbrewery.com
Imperial Stout;14;1099;3;42;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Stout;North American Ale;Samuel Smith Old Brewery (Tadcaster);High Street;Tadcaster;North Yorkshire;United Kingdom;53.8834, -1.2625;
Oak-Aged Belgian Tripel;15;1315;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Upstream Brewing Company at Legacy;17070 Wright Plaza;Omaha;Nebraska;United States;41.2331, -96.1811;
Ultrablonde;16;168;-1;-1;8;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie d'Ecaussinnes;rue Restaumont, 118;Ecaussinnes;Hainaut;Belgium;50.5593, 4.1365;
Wiesen Edel Weisse;17;1023;4;50;6.199999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;South German-Style Hefeweizen;German Ale;Private Weissbierbrauerei G. Schneider & Sohn GmbH;Emil-Ott-Strasse 1-5;Kelheim;;Germany;48.9175, 11.8735;http://www.schneider-weisse.de
Old Foghorn 2001;18;39;-1;-1;10;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Anchor Brewing;1705 Mariposa Street;San Francisco;California;United States;37.7635, -122.401;
Framboise;19;196;-1;-1;6;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie La Choulette;16 rue des Ecoles;Hordain;;France;50.2601, 3.3125;
Cow Palace Scotch Ale 1998;20;483;1;15;8.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;Scotch Ale;British Ale;Egan Brewing;;De Pere;Wisconsin;United States;44.4489, -88.0604;
Bigfoot 2001;21;1142;-1;-1;9.600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246, -121.816;http://www.sierranevada.com/
Bigfoot 2002;22;1142;-1;-1;9.600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246, -121.816;http://www.sierranevada.com/
Bigfoot 2003;23;1142;-1;-1;9.600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246, -121.816;http://www.sierranevada.com/
Bigfoot 2004;24;1142;-1;-1;9.600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246, -121.816;http://www.sierranevada.com/
Bigfoot 2005;25;1142;-1;-1;9.600000382;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Sierra Nevada Brewing Co.;1075 East 20th Street;Chico;California;United States;39.7246, -121.816;http://www.sierranevada.com/
Winter Ale;26;1220;1;13;5.900000095;0;0;0;;;0;2010-07-22 22:00:00+02:00;Old Ale;British Ale;Summit Brewing;910 Montreal Circle;Saint Paul;Minnesota;United States;44.9139, -93.1396;http://www.summitbrewing.com/
Full Moon Winter Ale;27;878;5;72;5.599999905;0;0;0;;This full-bodied ale is brewed with roasted malts and a hint of Dark Belgian sugar for a perfectly balanced taste.;0;2010-07-22 22:00:00+02:00;Other Belgian-Style Ales;Belgian and French Ale;Molson Breweries of Canada;175 Bloor Street East;Toronto;Ontario;Canada;43.6706, -79.3824;
Odell IPA;28;935;3;31;7;0;0;0;;We took the traditional IPA, originally shipped from England to India in the 1700's, and made it bolder and more flavorful - American Style. We've added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incredible hop character.;0;2010-07-22 22:00:00+02:00;American-Style India Pale Ale;North American Ale;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894, -105.063;
Ornery Amber Lager;29;1271;8;95;0;0;0;0;;Ornery Amber is brewed with a blend of the finest European hops and gently roasted malts.;0;2010-07-22 22:00:00+02:00;American-Style Lager;North American Lager;Tommyknocker Brewery and Pub;1401 Miner Street;Idaho Springs;Colorado;United States;39.7418, -105.518;http://www.tommyknocker.com/
Cutthroat Porter;30;935;2;25;4.800000191;0;0;0;;Not quite a stout but definitely no lightweight, Cutthroat Porter is smooth and robust. Inspired by the classic London porters, we use dark roasted malts to create a deep, rich color and flavor that hint at chocolate and coffee. We named it Cutthroat Porter as our tribute to the Colorado state fish - with its own rich heritage and unmistakable dark coloring. And while we're big fans of small batches, here's to the currently threatened Cutthroat population reaching mass quantities.;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Odell Brewing;800 East Lincoln Avenue;Fort Collins;Colorado;United States;40.5894, -105.063;
Maple Nut Brown Ale Ale;31;1271;3;38;0;0;0;0;;Maple syrup is added to each barrel of Maple Nut Brown Ale to impart roasted sweetness balancing the nut flavor produced by chocolate malts.;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Tommyknocker Brewery and Pub;1401 Miner Street;Idaho Springs;Colorado;United States;39.7418, -105.518;http://www.tommyknocker.com/
Cocoa Porter;32;1271;-1;-1;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Tommyknocker Brewery and Pub;1401 Miner Street;Idaho Springs;Colorado;United States;39.7418, -105.518;http://www.tommyknocker.com/
Jenlain Blonde;33;190;-1;-1;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie Duyck;113, rte Nationale;Jenlain;;France;50.3089, 3.6285;
Blonde;34;196;-1;-1;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brasserie La Choulette;16 rue des Ecoles;Hordain;;France;50.2601, 3.3125;
Flemish Primitive Wild Ale (Demon Fish);35;432;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159, 3.8158;
Witkap-Pater Tripel;36;294;-1;-1;7.5;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij Slaghmuylder;Denterhoutembaan 2;Ninove;Oost-Vlaanderen;Belgium;50.8417, 4.0213;
Winter Cheer;37;1175;3;38;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Spanish Peaks Brewing;Polson MT 59860;Polson;Montana;United States;47.6959, -114.176;http://www.blackdogales.com/
Canaster Winter Scotch;38;743;-1;-1;8.699999809;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Kleinbrouwerij de Glazen Toren;Glazentorenweg 11;Erpe-Mere;Oost-Vlaanderen;Belgium;50.9193, 3.9666;
Quelque Chose;40;1307;5;70;8;0;0;0;;Quelque Chose was launched in January 1996. This versatile beer was specifically developed as a winter beer because, when warmed to 70�C (160�F), it can be taken as a hot drink. On the other hand, on the rocks, it is a wonderful aperitif. The cherries are soaked for months in slightly bitter ale before being blended into the beer. Quelque Chose is made with dark roasted malts, and the end result is something commonly known as an authentic nectar. The most original of the Unibroue line, it is highly appreciated by winter-sports enthusiasts.;0;2010-07-22 22:00:00+02:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Unibroue;80 Des Carrires;Chambly;Quebec;Canada;45.4416, -73.2595;http://www.unibroue.com
Kriek;41;277;-1;-1;7;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;Brouwerij De Ranke;Brugsstraat 43;Wevelgem;West-Vlaanderen;Belgium;50.8105, 3.1857;
Bi̬re Darbyste;42;170;11;116;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Light American Wheat Ale or Lager;Other Style;Brasserie de Blaugies;Rue de la Frontire, 435;Blaugies;Hainaut;Belgium;50.3693, 3.827;
Maracaibo Especial;43;723;3;38;7.5;0;0;0;;A rich brown ale inspired by the enigmatic monastic brews of Belgium, and the mysterious mist shrouded jungles of the tropics. Brewed with real cacao, and spiced with cinnamon and sweet orange peel for a sensual delight. A brew to be sipped, savored, and enjoyed!;0;2010-07-22 22:00:00+02:00;American-Style Brown Ale;North American Ale;Jolly Pumpkin Artisan Ales;3115 Broad Street;Dexter;Michigan;United States;42.3375, -83.8895;http://www.jollypumpkin.com
Flemish Primitive Wild Ale (Pin Head);44;432;-1;-1;9;0;0;0;;;0;2010-07-22 22:00:00+02:00;;;De Proef Brouwerij;Doornzelestraat 20;Lochristi-Hijfte;Oost-Vlaanderen;Belgium;51.1159, 3.8158;
Calabaza Blanca;45;723;5;72;4.800000191;0;0;0;;Aged in large oak casks and refermented in the bottle, Calabaza Blanca is a Belgian Biere Blanche. Spiced with orange peel and corriander, you'll find it refreshingly tart, with a wonderfully dry finish.;0;2010-07-22 22:00:00+02:00;Other Belgian-Style Ales;Belgian and French Ale;Jolly Pumpkin Artisan Ales;3115 Broad Street;Dexter;Michigan;United States;42.3375, -83.8895;http://www.jollypumpkin.com
Porter;46;901;2;25;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;Porter;Irish Ale;Nebraska Brewing Company;7474 Towne Center Parkway #101;Papillion;Nebraska;United States;37.244, -107.879;
Cardinal Pale Ale;47;901;3;26;0;0;0;0;;;0;2010-07-22 22:00:00+02:00;American-Style Pale Ale;North American Ale;Nebraska Brewing Company;7474 Towne Center Parkway #101;Papillion;Nebraska;United States;37.244, -107.879;
